# Ef_eV: 0.0
# A_cell_A2: 100.0
E_eV,T_total
0.37,0.5137611811017203
0.37124999999999997,0.5141711698110869
0.37250000000000005,0.5145716666731033
0.37375,0.5149628766808659
0.375,0.5153450011007495
0.37625,0.5157182375060018
0.37750000000000006,0.5160827798119089
0.37875000000000003,0.516438818312406
0.38,0.5167865397180122
0.38125,0.5171261271949726
0.38250000000000006,0.5174577604054984
0.38375000000000004,0.5177816155490007
0.385,0.5180978654042165
0.38625,0.5184066793721311
0.38750000000000007,0.518708223519608
0.38875000000000004,0.5190026606236374
0.39,0.519290150216125
0.39125,0.5195708486291399
0.39250000000000007,0.5198449090405489
0.39375000000000004,0.5201124815199702
0.395,0.5203737130749759
0.39625,0.5206287476974863
0.39749999999999996,0.5208777264102923
0.39875000000000005,0.5211207873136536
0.4,0.5213580656319208
0.40125,0.5215896937601298
0.40249999999999997,0.5218158013105246
0.40375000000000005,0.5220365151589661
0.405,0.522251959491183
0.40625,0.5224622558488305
0.4075,0.522667523175321
0.40875000000000006,0.5228678778613909
0.41000000000000003,0.5230634337903775
0.41125,0.5232543023831749
0.4125,0.5234405926428413
0.41375000000000006,0.5236224111988381
0.41500000000000004,0.5237998623508735
0.41625,0.5239730481123321
0.4175,0.5241420682532739
0.41875000000000007,0.5243070203429799
0.42000000000000004,0.5244679997920348
0.42125,0.5246250998939288
0.4225,0.5247784118661672
0.42375000000000007,0.5249280248908749
0.42500000000000004,0.5250740261548884
0.42625,0.5252165008893239
0.4275,0.5253555324086143
0.42874999999999996,0.525491202149009
0.43000000000000005,0.5256235897065293
0.43125,0.5257527728743768
0.4325,0.5258788276797889
0.43374999999999997,0.526001828420339
0.43500000000000005,0.5261218476996792
0.43625,0.526238956462724
0.4375,0.5263532240302743
0.43875,0.5264647181330806
0.44000000000000006,0.5265735049453479
0.44125000000000003,0.5266796491176801
0.4425,0.5267832138094689
0.44375,0.526884260720727
0.44500000000000006,0.5269828501233679
0.44625000000000004,0.5270790408919386
0.4475,0.5271728905338027
0.44875,0.527264455218784
0.45000000000000007,0.5273537898082691
0.45125000000000004,0.5274409478837782
0.4525,0.5275259817750042
0.45375,0.5276089425873296
0.45500000000000007,0.5276898802288215
0.45625000000000004,0.5277688434367155
